familia,A,a,b,N,r2
PF00005,2.137318,0.854726,0.399581,192,0.970160
PF00006,2.245272,0.773303,0.465925,2459,0.928486
PF00009,1.953959,0.725873,0.473624,911,0.952610
PF00012,2.072825,0.661659,0.312973,555,0.972975
PF00013,1.353509,0.488458,0.450859,2017,0.982540
PF00017,1.405627,0.671992,0.582140,135,0.991976
PF00023,2.658515,0.985735,0.398635,755,0.967354
PF00025,1.709289,0.838089,0.570980,89,0.958933
PF00026,2.611416,1.109189,0.405194,91,0.932407
PF00027,2.370315,0.938709,0.467008,331,0.939522
PF00035,1.064164,0.642556,0.694199,207,0.971584
PF00036,1.539847,0.739198,0.549263,603,0.964563
PF00042,2.008162,1.136225,0.703781,99,0.952193
PF00043,2.628479,1.898220,0.655268,18,0.912605
PF00069,2.145607,0.875448,0.460223,203,0.952737
PF00070,1.481751,0.691843,0.589074,206,0.971852
PF00071,1.752647,0.807676,0.578399,219,0.963653
PF00072,2.297091,0.990257,0.398197,115,0.938369
PF00076,1.181584,0.563023,0.595577,175,0.984617
PF00078,1.984666,0.782475,0.475753,338,0.946038
PF00083,2.363403,1.224561,0.707963,113,0.909795
PF00085,0.881013,0.600255,0.904553,84,0.980121
PF00096,0.920311,0.563590,0.568721,318,0.972142
PF00097,1.702294,1.134606,0.732155,22,0.961931
PF00106,1.526228,0.813430,0.749059,162,0.958122
PF00107,1.570068,0.795681,0.741891,167,0.949301
PF00108,1.578256,0.712855,0.599394,163,0.958988
PF00109,2.029803,0.854881,0.542449,363,0.954752
PF00115,2.622585,1.873026,1.539781,147,0.843506
PF00122,1.866491,0.772500,0.543424,348,0.966875
PF00125,1.246308,0.524801,0.526710,160,0.963039
PF00132,1.475961,0.809117,0.619513,248,0.984727
PF00134,2.577973,1.102446,0.494403,115,0.911707
PF00137,3.417655,1.556351,0.644603,183,0.885811
PF00149,2.305316,0.895981,0.554058,927,0.947423
PF00150,2.897928,1.131773,0.382900,202,0.924486
PF00153,1.885288,0.787441,0.519271,423,0.969340
PF00160,1.760685,0.727537,0.527235,280,0.965965
PF00168,1.080390,0.508710,0.559617,1115,0.976489
PF00169,1.403519,0.585727,0.511968,442,0.982476
PF00170,0.319664,0.131018,0.984543,35,0.990067
PF00171,2.344415,0.808562,0.430466,840,0.945683
PF00172,1.029672,0.491090,0.549502,61,0.982660
PF00173,1.621144,0.737764,0.558359,177,0.960678
PF00176,2.200198,0.905991,0.417941,143,0.953375
PF00179,1.195588,0.763433,0.858722,160,0.934706
PF00201,2.678448,1.089117,0.337131,103,0.939444
PF00202,2.455795,1.160417,0.473385,68,0.922297
PF00205,2.085353,0.844072,0.586880,441,0.939681
PF00226,1.455048,0.494303,0.363756,712,0.962585
PF00237,1.146586,0.470997,0.486909,4147,0.968746
PF00240,0.838825,0.480638,0.639253,209,0.981062
PF00249,1.063746,0.530306,0.551446,337,0.977955
PF00258,2.394387,0.916565,0.358475,157,0.923487
PF00268,2.112377,1.026926,0.772142,839,0.900362
PF00270,1.934635,0.814181,0.570442,591,0.963938
PF00271,2.333613,0.799868,0.400343,1318,0.967191
PF00289,2.124664,1.096531,0.713854,97,0.933243
PF00291,2.271536,0.849661,0.476995,804,0.946140
PF00294,2.373446,0.904271,0.423355,279,0.950263
PF00300,1.708906,0.676838,0.528591,1927,0.963352
PF00310,2.310193,0.838848,0.359841,303,0.958408
PF00318,1.680705,0.623505,0.487308,3439,0.962218
PF00320,0.418778,0.340606,0.689279,155,0.980030
PF00324,1.443863,1.008407,1.161446,67,0.891463
